count,currTime,num_carry_over_list,num_match_stats,num_prev_list,num_retval,reidTimeTakensec,timeTakensec,totalTimeTakensec
0,1568177859.3216422,0,0,0,0,9.059906005859375e-06,1.0728836059570312e-05,0.5070641040802002
0,1568177860.3239481,0,0,0,0,1.1444091796875e-05,1.4066696166992188e-05,0.5017914772033691
0,1568177861.326019,0,0,0,0,8.344650268554688e-06,1.049041748046875e-05,0.5015535354614258
0,1568177862.3281407,0,0,0,0,7.867813110351562e-06,9.775161743164062e-06,0.5016016960144043
0,1568177863.330213,0,0,0,0,7.62939453125e-06,9.5367431640625e-06,0.5015535354614258
0,1568177864.331687,0,0,0,0,9.298324584960938e-06,1.3113021850585938e-05,0.5013692378997803
0,1568177865.3334248,0,0,0,0,6.4373016357421875e-06,8.344650268554688e-06,0.501197099685669
0,1568177866.3353136,0,0,0,0,6.198883056640625e-06,8.106231689453125e-06,0.501368522644043
0,1568177867.3371935,0,0,0,0,7.3909759521484375e-06,1.0013580322265625e-05,0.501335859298706
0,1568177868.339308,0,0,0,0,7.62939453125e-06,1.0728836059570312e-05,0.5015969276428223
0,1568177869.3414876,0,0,0,0,8.821487426757812e-06,1.0967254638671875e-05,0.501652717590332
0,1568177870.3434527,0,0,0,0,7.3909759521484375e-06,9.298324584960938e-06,0.5014402866363525
0,1568177871.3455212,0,0,0,0,7.867813110351562e-06,1.0251998901367188e-05,0.5015466213226318
0,1568177872.347377,0,0,0,0,1.1205673217773438e-05,1.3828277587890625e-05,0.5013108253479004
0,1568177873.3493562,0,0,0,0,5.9604644775390625e-06,7.62939453125e-06,0.5014567375183105
0,1568177874.3512902,0,0,0,0,5.9604644775390625e-06,7.152557373046875e-06,0.5013740062713623
0,1568177875.3533022,0,0,0,0,5.0067901611328125e-06,6.67572021484375e-06,0.5014727115631104
0,1568177876.3548872,0,0,0,0,6.198883056640625e-06,7.62939453125e-06,0.5010323524475098
0,1568177877.3567414,0,0,0,0,6.67572021484375e-06,8.106231689453125e-06,0.5013055801391602
0,1568177878.3585289,0,0,0,0,6.4373016357421875e-06,7.3909759521484375e-06,0.5012695789337158
0,1568177879.3604252,0,0,0,0,5.7220458984375e-06,7.62939453125e-06,0.5013468265533447
0,1568177880.3622453,0,0,0,0,7.62939453125e-06,9.298324584960938e-06,0.5012784004211426
0,1568177881.3641686,0,0,0,0,7.152557373046875e-06,9.059906005859375e-06,0.5013723373413086
0,1568177882.3659546,0,0,0,0,5.7220458984375e-06,7.152557373046875e-06,0.5012409687042236
0,1568177883.3678393,0,0,0,0,6.198883056640625e-06,7.62939453125e-06,0.5013408660888672
0,1568177884.3696594,0,0,0,0,6.67572021484375e-06,8.344650268554688e-06,0.5012710094451904
0,1568177885.371473,0,0,0,0,6.4373016357421875e-06,7.867813110351562e-06,0.501274824142456
0,1568177886.3732944,0,0,0,0,7.62939453125e-06,9.775161743164062e-06,0.5012834072113037
0,1568177887.3752332,0,0,0,0,7.867813110351562e-06,1.0013580322265625e-05,0.5013935565948486
